[DEBUG] <2019-08-22 18:08:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:08:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2ef873e8] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:08:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:08:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1795313654 wrapping com.mysql.cj.jdbc.ConnectionImpl@4dcb72ef] will not be managed by Spring
[DEBUG] <2019-08-22 18:08:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, id, `name`, code, create_time, modify_time, startup_time, json_file_name, pythonscript__file_name, server_ip, server_port, runState, remark, datax_home, process_pid, python_switch, json_switch from t_datax_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:08:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:08:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:08:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2ef873e8]
[DEBUG] <2019-08-22 18:08:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:08:22,022> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:08:30,030> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - Before cleanup stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:08:30,030> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - After cleanup  stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:08:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:08:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5b4f68f0] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:08:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:08:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@588083112 wrapping com.mysql.cj.jdbc.ConnectionImpl@4dcb72ef] will not be managed by Spring
[DEBUG] <2019-08-22 18:08:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( runState = ? ) 
[DEBUG] <2019-08-22 18:08:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 1(Integer)
[DEBUG] <2019-08-22 18:08:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:08:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5b4f68f0]
[DEBUG] <2019-08-22 18:08:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:08:46,046> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@20f9be61] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@2026964070 wrapping com.mysql.cj.jdbc.ConnectionImpl@4dcb72ef] will not be managed by Spring
[DEBUG] <2019-08-22 18:08:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:08:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:08:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@20f9be61]
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@10e2c056] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:08:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:08:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@767655286 wrapping com.mysql.cj.jdbc.ConnectionImpl@4dcb72ef] will not be managed by Spring
[DEBUG] <2019-08-22 18:08:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, id, `name`, code, create_time, modify_time, startup_time, json_file_name, pythonscript__file_name, server_ip, server_port, runState, remark, datax_home, process_pid, python_switch, json_switch from t_datax_config WHERE ( server_ip = ? and runState = ? ) 
