[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application.properties' (file:./config/application.properties)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application.xml' (file:./config/application.xml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application.yml' (file:./config/application.yml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application.yaml' (file:./config/application.yaml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.properties' (file:./application.properties)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.xml' (file:./application.xml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.yml' (file:./application.yml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.yaml' (file:./application.yaml)
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.properties'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.xml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.yml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.yaml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/application.xml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/application.yml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/application.yaml'
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application-dev.properties' (file:./config/application-dev.properties) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application-dev.properties' (file:./config/application-dev.properties) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application.properties' (file:./config/application.properties) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application-dev.xml' (file:./config/application-dev.xml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./config/application-dev.xml' (file:./config/application-dev.xml) for profile dev
